"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
2,"0001-00202",34,"1998-06-18 00:00:00","WF",7.09999990463257,38,"S",31,"H","N",NA,-9,-9,10
2,"0001-00202",35,"1998-06-18 00:00:00","WF",24.7000007629395,97,"C",58,"H","N",NA,-9,-9,10
2,"0001-00202",36,"1998-06-18 00:00:00","WF",11.5,68,"I",29,"H","N",NA,-9,-9,10
3,"0001-00203",1,"1999-06-18 00:00:00","WF",6.19999980926514,37,"S",23,"H","N","",-9,-9,10
3,"0001-00203",2,"1999-06-18 00:00:00","IC",4.80000019073486,19,"S",18,"BKS","PT","BENT OVER W/ OTHER TREES ON TOP",-9,-9,10
3,"0001-00203",3,"1999-06-18 00:00:00","IC",7.5,35,"I",16,"H","N","",-9,-9,10
3,"0001-00203",4,"1999-06-18 00:00:00","IC",5.80000019073486,32,"S",20,"H","N","",-9,-9,10
3,"0001-00203",5,"1999-06-18 00:00:00","IC",4.80000019073486,23,"S",17,"SR","N","",-9,-9,10
3,"0001-00203",6,"1999-06-18 00:00:00","IC",8.5,33,"S",18,"H","N","",-9,-9,10
3,"0001-00203",7,"1999-06-18 00:00:00","IC",7.40000009536743,43,"S",23,"H","N","",-9,-9,10
3,"0001-00203",8,"1999-06-18 00:00:00","IC",8.30000019073486,32,"S",19,"H","N","",-9,-9,10
3,"0001-00203",9,"1999-06-18 00:00:00","IC",6.30000019073486,34,"S",21,"J","N","",-9,-9,10
3,"0001-00203",10,"1999-06-18 00:00:00","IC",10.6000003814697,46,"S",24,"H","N","WITNESS AZ84DIST12.9'",-9,-9,10
3,"0001-00203",11,"1999-06-18 00:00:00","IC",9,37,"S",22,"H","N","",-9,-9,10
3,"0001-00203",12,"1999-06-18 00:00:00","IC",5.09999990463257,30,"S",22,"KR","N","",-9,-9,10
3,"0001-00203",13,"1999-06-18 00:00:00","IC",6.19999980926514,34,"S",20,"L","N","",-9,-9,10
3,"0001-00203",14,"1999-06-18 00:00:00","IC",5.30000019073486,15,"S",14,"T","PT","",-9,-9,10
3,"0001-00203",16,"1999-06-18 00:00:00","IC",5,34,"S",27,"H","N","",-9,-9,10
3,"0001-00203",17,"1999-06-18 00:00:00","IC",5,26,"S",18,"SR","N","",-9,-9,10
3,"0001-00203",18,"1999-06-18 00:00:00","WF",6.59999990463257,48,"S",28,"H","N","",-9,-9,10
3,"0001-00203",19,"1999-06-18 00:00:00","PP",13.8999996185303,70,"I",38,"FS","N","POSSIBLE JEFFERY PINE",-9,-9,10
3,"0001-00203",20,"1999-06-18 00:00:00","IC",7.69999980926514,42,"S",32,"R","N","",-9,-9,10
3,"0001-00203",22,"1999-06-18 00:00:00","WF",8.10000038146973,51,"I",32,"H","N","",-9,-9,10
3,"0001-00203",23,"1999-06-18 00:00:00","IC",8.19999980926514,40,"S",28,"S","N","",-9,-9,10
3,"0001-00203",24,"1999-06-18 00:00:00","WF",10.6999998092651,67,"S",30,"H","N","",-9,-9,10
3,"0001-00203",25,"1999-06-18 00:00:00","IC",6.80000019073486,34,"S",26,"H","N","",-9,-9,10
3,"0001-00203",26,"1999-06-18 00:00:00","GS",28.3999996185303,132,"C",64,"H","N","SITE TREE 52YRS.AZ159DIST35'",-9,-9,10
3,"0001-00203",28,"1999-06-18 00:00:00","IC",5.09999990463257,22,"S",19,"R","T","",-9,-9,10
3,"0001-00203",29,"1999-06-18 00:00:00","IC",5.40000009536743,28,"S",29,"R","N","",-9,-9,10
3,"0001-00203",30,"1999-06-18 00:00:00","IC",10.6999998092651,48,"I",36,"H","N","WITNESS AZ193DIST12.2'",-9,-9,10
3,"0001-00203",31,"1999-06-18 00:00:00","IC",11.6000003814697,59,"I",34,"H","N","",-9,-9,10
3,"0001-00203",32,"1999-06-18 00:00:00","WF",9.5,54,"I",35,"H","N","",-9,-9,10
3,"0001-00203",34,"1999-06-18 00:00:00","IC",6.19999980926514,33,"S",23,"RS","N","",-9,-9,10
3,"0001-00203",35,"1999-06-18 00:00:00","IC",4.80000019073486,28,"S",22,"R","T","",-9,-9,10
3,"0001-00203",36,"1999-06-18 00:00:00","IC",4.5,29,"S",20,"R","N","",-9,-9,10
3,"0001-00203",37,"1999-06-18 00:00:00","IC",7.40000009536743,36,"S",23,"R","N","",-9,-9,10
3,"0001-00203",38,"1999-06-18 00:00:00","PP",9,43,"S",28,"H","N","POSSIBLE JEFFERY PINE",-9,-9,10
3,"0001-00203",39,"1999-06-18 00:00:00","GS",27.8999996185303,95,"I",35,"H","N","",-9,-9,10
3,"0001-00203",41,"1999-06-18 00:00:00","IC",57.7999992370605,138,"D",69,"BL","T","TOP OF TREE IS DEAD",-9,-9,10
3,"0001-00203",42,"1999-06-18 00:00:00","IC",3.70000004768372,26,"S",20,"RS","T","1/100",-9,-9,100
3,"0001-00203",43,"1999-06-18 00:00:00","WF",4.80000019073486,22,"S",9,"L","N","",-9,-9,10
3,"0001-00203",44,"1999-06-18 00:00:00","BO",28.1000003814697,111,"D",51,"HL","N","WITNESS AZ84DIST12.9'",-9,-9,10
3,"0001-00203",45,"1999-06-18 00:00:00","WF",8.39999961853027,49,"I",29,"H","N","",-9,-9,10
3,"0001-00203",46,"1999-06-18 00:00:00","PP",12.8999996185303,77,"I",35,"H","N","POSSIBLE JEFFERY PINE",-9,-9,10
3,"0001-00203",48,"1999-06-18 00:00:00","WF",9.69999980926514,64,"S",52,"HS","N","",-9,-9,10
3,"0001-00203",49,"1999-06-18 00:00:00","WF",18.1000003814697,99,"D",30,"H","N","SITE TREE 73YRS. AZ337DIST35.4'",-9,-9,10
3,"0001-00203",50,"1999-06-18 00:00:00","IC",6.30000019073486,48,"S",33,"KS","N","",-9,-9,10
3,"0001-00203",51,"1999-06-18 00:00:00","WF",10.3999996185303,56,"I",35,"BSZ","N","",-9,-9,10
3,"0001-00203",52,"1999-06-18 00:00:00","IC",6.59999990463257,30,"S",21,"BLR","N","",-9,-9,10
3,"0001-00203",53,"1999-06-18 00:00:00","IC",6.40000009536743,33,"S",17,"R","N","",-9,-9,10
3,"0001-00203",55,"1999-06-18 00:00:00","IC",4.5,17,"S",13,"R","N","",-9,-9,10
4,"0001-00204",2,"1999-06-20 00:00:00","WF",9.19999980926514,63,"I",39,"H","N","",-9,-9,10
4,"0001-00204",3,"1999-06-20 00:00:00","IC",9.10000038146973,41,"I",12,"H","N","",-9,-9,10
4,"0001-00204",4,"1999-06-20 00:00:00","IC",4.80000019073486,19,"S",8,"RS","N","",-9,-9,10
4,"0001-00204",5,"1999-06-20 00:00:00","WF",9.80000019073486,54,"I",39,"T","N","1/100; WITNESS AZ261DIST7.2'",-9,-9,10
4,"0001-00204",6,"1999-06-20 00:00:00","WF",8.19999980926514,44,"S",37,"H","N","1/100",-9,-9,10
4,"0001-00204",7,"1999-06-20 00:00:00","WF",8,31,"S",28,"H","T","",-9,-9,10
4,"0001-00204",8,"1999-06-20 00:00:00","WF",10.1000003814697,53,"I",43,"T","N","",-9,-9,10
4,"0001-00204",9,"1999-06-20 00:00:00","WF",9.10000038146973,42,"I",33,"T","N","",-9,-9,10
4,"0001-00204",10,"1999-06-20 00:00:00","WF",7.30000019073486,57,"I",42,"B","N","",-9,-9,10
4,"0001-00204",12,"1999-06-20 00:00:00","WF",12.5,66,"I",37,"H","N","",-9,-9,10
4,"0001-00204",13,"1999-06-20 00:00:00","BO",17,58,"C",38,"L","N","",-9,-9,10
4,"0001-00204",14,"1999-06-20 00:00:00","IC",34.7999992370605,134,"D",43,"H","N","1/100; WITNESS AZ140DIST8.1'; SITE TREE AGE 86",-9,-9,10
4,"0001-00204",15,"1999-06-20 00:00:00","IC",17.8999996185303,76,"C",26,"H","N","",-9,-9,10
4,"0001-00204",17,"1999-06-20 00:00:00","IC",16.7000007629395,50,"I",28,"Z","N","",-9,-9,10
4,"0001-00204",18,"1999-06-20 00:00:00","WF",8.19999980926514,48,"S",29,"H","N","",-9,-9,10
4,"0001-00204",19,"1999-06-20 00:00:00","WF",4.59999990463257,36,"S",26,"H","N","",-9,-9,10
4,"0001-00204",20,"1999-06-20 00:00:00","WF",20.2000007629395,116,"C",42,"H","N","1/100; WITNESS AZ247DIST8'",-9,-9,10
4,"0001-00204",21,"1999-06-20 00:00:00","WF",26.5,123,"D",61,"H","N","SITE TREE AGE 57 AZ302DIST37.2'",-9,-9,10
4,"0001-00204",22,"1999-06-20 00:00:00","SP",5.59999990463257,25,"S",9,"R","PT","WPBR",-9,-9,10
4,"0001-00204",23,"1999-06-20 00:00:00","IC",5.90000009536743,35,"S",18,"R","N","",-9,-9,10
4,"0001-00204",24,"1999-06-20 00:00:00","IC",4.80000019073486,23,"S",11,"R","N","",-9,-9,10
5,"0001-00205",1,"1999-06-21 00:00:00","WF",24.3999996185303,129,"D",77,"H","N","",-9,-9,10
5,"0001-00205",2,"1999-06-21 00:00:00","WF",28.3999996185303,144,"C",74,"H","N","WITNESS AZ7DIST24.7'",-9,-9,10
5,"0001-00205",3,"1999-06-21 00:00:00","WF",21.7999992370605,113,"C",63,"BKS","N","",-9,-9,10
5,"0001-00205",5,"1999-06-21 00:00:00","WF",12.3000001907349,86,"I",57,"J","N","WITNESS AZ104DIST14'",-9,-9,10
5,"0001-00205",6,"1999-06-21 00:00:00","IC",4.69999980926514,24,"S",12,"R","N","",-9,-9,10
5,"0001-00205",7,"1999-06-21 00:00:00","WF",6,59,"I",50,"H","N","1/100",-9,-9,10
5,"0001-00205",8,"1999-06-21 00:00:00","IC",1.5,10,"S",8,"LRS","N","1/100",-9,-9,100
5,"0001-00205",9,"1999-06-21 00:00:00","SP",17.7000007629395,116,"C",51,"H","N","",-9,-9,10
5,"0001-00205",10,"1999-06-21 00:00:00","IC",4.59999990463257,23,"S",15,"JR","N","",-9,-9,10
5,"0001-00205",11,"1999-06-21 00:00:00","IC",0.5,7,"S",3,"JKRS","N","",-9,-9,100
5,"0001-00205",12,"1999-06-21 00:00:00","SP",5.40000009536743,23,"S",12,"ST","N","",-9,-9,10
5,"0001-00205",13,"1999-06-21 00:00:00","WF",23.1000003814697,108,"I",61,"B","N","",-9,-9,10
5,"0001-00205",14,"1999-06-21 00:00:00","IC",5.90000009536743,29,"S",21,"JRS","N","",-9,-9,10
