"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
113,"0001-00507","2011-08-06 00:00:00",5,"IC",17.2999992370605,"B","N",60,1,"R",4,-9,0,"B",100,"1/100 AZ69"
113,"0001-00507","2011-08-06 00:00:00",6,"IC",30.2999992370605,"B","N",85,1,"R",4,-9,0,"B",10,"AZ75"
113,"0001-00507","2011-08-06 00:00:00",9,"IC",30,"B","N",100,2,"R",4,-9,0,"B",10,"WITNESS AZ344D8.0"
113,"0001-00507","2011-08-06 00:00:00",10,"IC",24,"B","N",100,1,"R",4,-9,0,"B",10,"AZ152"
113,"0001-00507","2011-08-06 00:00:00",11,"IC",26.5,"B","N",100,1,"R",4,-9,0,"B",10,"AZ152"
113,"0001-00507","2011-08-06 00:00:00",16,"IC",22,"B","N",0,1,"D",4,-9,0,"B",10,"AZ329"
114,"0001-00601","2011-06-05 00:00:00",11,"IC",18.7999992370605,"A","N",100,1,"R",4,-9,0,"B",100,""
114,"0001-00601","2011-06-05 00:00:00",13,"IC",46.5,"D","N",0,1,"D",4,-9,0,"E",10,"QDBH"
115,"0001-00602","2011-06-06 00:00:00",1,"WF",20.5,"C","N",100,1,"R",4,-9,0,"C",10,""
115,"0001-00602","2011-06-06 00:00:00",16,"WF",38.2999992370605,"B","N",95,1,"R",9,-9,0,"C",10,"WITNESS AZ261DIST15.6"
115,"0001-00602","2011-06-06 00:00:00",17,"WF",28.8999996185303,"B","N",25,2,"R",9,-9,0,"C",10,""
115,"0001-00602","2011-06-06 00:00:00",18,"WF",16.1000003814697,"B","N",85,1,"R",9,-9,0,"C",100,""
116,"0001-00603","2011-06-05 00:00:00",2,"IC",20.6000003814697,"B","N",80,0,"D",9,-9,0,"C",10,""
116,"0001-00603","2011-06-05 00:00:00",4,"IC",28.1000003814697,"E","N",95,1,"R",9,-9,0,"C",10,""
116,"0001-00603","2011-06-05 00:00:00",7,"WF",21.7999992370605,"B","N",90,1,"R",-9,-9,0,"B",10,"WITNESS AZ 229 DIST 30.4"
116,"0001-00603","2011-06-05 00:00:00",11,"GS",114.400001525879,"D","Y",0,3,"D",9,-9,0,"D",10,"OLD GROWTH #922 QDBH"
117,"0001-00604","2011-06-06 00:00:00",6,"IC",29.7999992370605,"B","N",100,1,"R",9,-9,0,"B",10,""
117,"0001-00604","2011-06-06 00:00:00",8,"IC",24.5,"C","N",100,1,"R",9,-9,0,"B",10,""
