"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
5405,"0624-00003","2007-08-09 00:00:00",30,"PP",18,"E","N",15,1,"D",4,-9,0,"E",100,""
5405,"0624-00003","2007-08-09 00:00:00",32,"IC",9.5,"B","N",10,2,"D",4,-9,0,"B",100,""
5405,"0624-00003","2007-08-09 00:00:00",33,"PP",14,"D","N",40,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",8,"IC",8,"B","N",100,1,"D",4,-9,0,"C",100,""
5406,"0624-00004","2007-08-10 00:00:00",14,"IC",12.1999998092651,"B","N",95,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",18,"IC",10,"C","N",65,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",19,"PP",9.80000019073486,"C","N",20,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",48,"IC",13,"B","N",55,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",50,"WF",17,"D","N",5,1,"D",4,-9,0,"E",100,""
5406,"0624-00004","2007-08-10 00:00:00",57,"IC",8.69999980926514,"B","N",90,1,"D",4,-9,0,"D",100,""
5406,"0624-00004","2007-08-10 00:00:00",101,"IC",34.2999992370605,"C","N",0,2,"D",4,-9,0,"E",10,""
5406,"0624-00004","2007-08-10 00:00:00",102,"IC",31.3999996185303,"C","N",0,3,"D",4,-9,0,"E",10,"POSSIBLE NEST"
5407,"0624-00011","2007-08-09 00:00:00",3,"IC",22.5,"B","N",5,2,"D",4,-9,0,"C",10,""
5407,"0624-00011","2007-08-09 00:00:00",4,"IC",25.8999996185303,"B","N",30,2,"D",4,-9,0,"C",10,""
5407,"0624-00011","2007-08-09 00:00:00",5,"IC",23,"B","N",50,2,"D",4,-9,0,"C",10,""
5407,"0624-00011","2007-08-09 00:00:00",6,"IC",20.7000007629395,"B","N",40,1,"D",4,-9,0,"C",10,""
5407,"0624-00011","2007-08-09 00:00:00",7,"WF",28,"E","N",0,1,"D",4,-9,0,"E",10,"CUBICLE PILE"
5407,"0624-00011","2007-08-09 00:00:00",8,"IC",22.5,"A","N",10,2,"D",4,-9,0,"C",10,""
5408,"0030-00001","2007-10-19 00:00:00",25,"WF",42,"A","N",100,1,"R",0,-9,0,"A",10,"WITNESS AZ303 DIST11.7"
5408,"0030-00001","2007-10-19 00:00:00",32,"IC",35,"C","Y",40,1,"D",4,3,0,"D",10,""
5408,"0030-00001","2007-10-19 00:00:00",33,"IC",14,"A","N",100,3,"D",4,2,0,"B",100,""
5408,"0030-00001","2007-10-19 00:00:00",34,"IC",29,"A","N",95,1,"D",4,2,0,"B",10,""
5408,"0030-00001","2007-10-19 00:00:00",35,"IC",30,"A","N",100,1,"D",4,2,0,"C",10,""
5409,"0030-00002","2007-10-23 00:00:00",12,"WF",14,"A","N",100,1,"D",4,2,1,"B",100,"WOOD HEALING"
5409,"0030-00002","2007-10-23 00:00:00",32,"WF",28,"D","Y",90,1,"D",4,3,1,"D",10,"WOOD HEALING"
5410,"0030-00003","2007-10-23 00:00:00",9,"IC",20.7999992370605,"A","N",65,1,"R",0,-9,0,"A",10,""
5411,"0030-00004","2007-10-24 00:00:00",2,"WF",27.2000007629395,"A","N",90,1,"R",0,-9,0,"A",10,"WITNESS AZ121 DIST21.7"
5411,"0030-00004","2007-10-24 00:00:00",6,"SP",25.2000007629395,"A","N",100,1,"R",0,-9,0,"A",10,""
5412,"0030-00006","2007-10-19 00:00:00",5,"IC",20.7999992370605,"A","N",100,2,"R",0,-9,0,"A",10,""
5412,"0030-00006","2007-10-19 00:00:00",20,"WF",24.5,"A","N",90,1,"R",0,-9,0,"A",10,""
5412,"0030-00006","2007-10-19 00:00:00",27,"WF",21.5,"A","N",100,1,"R",0,-9,0,"A",10,""
5412,"0030-00006","2007-10-19 00:00:00",46,"IC",23.5,"A","N",100,1,"R",0,-9,0,"A",10,""
5414,"0030-00009","2007-10-24 00:00:00",7,"IC",21.5,"A","N",80,1,"R",0,-9,0,"A",10,"OLD WITNESS AZ 184 DIST 18.3"
5414,"0030-00009","2007-10-24 00:00:00",10,"IC",21.7000007629395,"A","N",100,1,"R",0,-9,0,"A",10,"WITNESS D 23.6 AZ 216"
5415,"0030-00010","2007-10-24 00:00:00",5,"IC",21.7000007629395,"A","N",100,1,"R",0,-9,0,"A",10,"WITNESS AZ62 DIST13.3"
5415,"0030-00010","2007-10-24 00:00:00",6,"IC",22.6000003814697,"A","N",100,1,"R",0,-9,0,"A",10,""
5415,"0030-00010","2007-10-24 00:00:00",15,"WF",22.1000003814697,"A","N",80,1,"C",0,-9,0,"A",10,""
5415,"0030-00010","2007-10-24 00:00:00",29,"SP",25.6000003814697,"A","N",100,1,"R",0,-9,0,"A",10,""
5416,"0030-00011","2007-10-24 00:00:00",20,"IC",27,"B","Y",95,1,"D",4,2,0,"C",10,""
5417,"0030-00012","2007-10-24 00:00:00",3,"WF",13,"B","N",0,1,"D",4,2,0,"B",100,"WITNESS AZ83 DIST2.8"
5417,"0030-00012","2007-10-24 00:00:00",13,"BO",28,"C","N",95,3,"D",4,2,0,"A",10,""
5417,"0030-00012","2007-10-24 00:00:00",14,"BO",20,"A","N",70,3,"D",4,1,0,"A",10,""
5417,"0030-00012","2007-10-24 00:00:00",15,"IC",23,"A","N",40,1,"D",4,1,0,"A",10,""
5417,"0030-00012","2007-10-24 00:00:00",25,"WF",13.5,"B","N",15,1,"D",4,2,0,"B",100,"WITNESS AZ228 DIST8.5"
5417,"0030-00012","2007-10-24 00:00:00",29,"DF",24,"A","N",5,1,"D",4,2,0,"B",10,""
5418,"0321-00014","2007-08-17 00:00:00",8,"GS",30.2000007629395,"A","N",70,1,"R",0,-9,0,"A",10,"STUMP SPLIT FROM HARVEST"
5419,"0321-00015","2007-08-16 00:00:00",2,"PP",22,"A","N",100,1,"R",0,-9,0,"A",10,""
5419,"0321-00015","2007-08-16 00:00:00",4,"PP",21.1000003814697,"A","N",90,1,"R",0,-9,0,"A",10,""
6464,"0321-00010","1995-08-11 00:00:00",1,"GS",26.7999992370605,"A","N",100,1,"C",0,-9,0,"A",10,""
5420,"0321-00010","2007-08-20 00:00:00",4,"PP",10,"A","N",100,1,"R",0,-9,0,"A",10,NA
5420,"0321-00010","2007-08-20 00:00:00",16,"PP",17,"A","N",95,1,"R",0,-9,0,"A",10,""
5420,"0321-00010","2007-08-20 00:00:00",19,"PP",21.6000003814697,"A","N",5,1,"R",0,-9,0,"A",10,""
6465,"0321-00010","1995-08-11 00:00:00",24,"GS",19.3999996185303,"B","X",100,1,"C",0,-9,0,"C",10,""
5422,"0321-00017","2007-08-20 00:00:00",13,"PP",18.3999996185303,"A","N",100,1,"R",0,-9,0,"A",10,""
5422,"0321-00017","2007-08-20 00:00:00",21,"PP",18.7000007629395,"A","N",100,1,"R",0,-9,0,"A",10,""
5422,"0321-00017","2007-08-20 00:00:00",27,"PP",16.7000007629395,"A","N",100,1,"R",0,-9,0,"A",10,""
5422,"0321-00017","2007-08-20 00:00:00",29,"PP",19.3999996185303,"A","N",100,1,"R",0,-9,0,"A",10,""
5423,"0321-00001","2007-08-17 00:00:00",6,"PP",-9,"A","N",100,-9,"R",0,-9,0,"A",10,""
5423,"0321-00001","2007-08-17 00:00:00",14,"GS",-9,"A","N",95,-9,"R",0,-9,0,"A",10,""
5424,"0481-00013","2007-08-17 00:00:00",3,"SP",21.8999996185303,"A","N",100,1,"R",0,-9,0,"A",10,""
5424,"0481-00013","2007-08-17 00:00:00",4,"DF",13.6999998092651,"A","N",100,1,"R",0,-9,0,"A",100,""
5424,"0481-00013","2007-08-17 00:00:00",5,"PP",21,"A","N",80,1,"R",0,-9,0,"A",10,""
5426,"0481-00027","2007-08-16 00:00:00",351,"PP",20.5,"A","N",100,1,"R",0,-9,0,"A",10,""
5426,"0481-00027","2007-08-16 00:00:00",353,"DF",16.2000007629395,"A","N",100,1,"R",0,-9,0,"A",100,""
5428,"0481-00036","2007-08-16 00:00:00",387,"DF",16.8999996185303,"A","N",100,1,"R",0,-9,0,"A",100,"WITNESS DIST6.1 AZ339"
5429,"0481-00037","2007-08-16 00:00:00",400,"PP",18.3999996185303,"A","N",100,1,"R",0,-9,0,"A",100,""
5429,"0481-00037","2007-08-16 00:00:00",421,"PP",21.2999992370605,"A","N",100,1,"R",0,-9,0,"A",10,""
5430,"0481-00038","2007-08-16 00:00:00",317,"PP",22,"A","N",100,1,"R",0,-9,0,"A",10,""
5431,"0481-00026","2007-08-16 00:00:00",281,"PP",24.5,"A","N",100,1,"R",0,-9,0,"A",10,""
5432,"0481-00024","2007-08-17 00:00:00",253,"PP",22.1000003814697,"A","N",100,1,"R",0,-9,0,"A",10,""
5432,"0481-00024","2007-08-17 00:00:00",256,"PP",24,"A","N",100,1,"R",0,-9,0,"A",10,""
5433,"0481-00025","2007-08-17 00:00:00",137,"DF",13.3000001907349,"A","N",100,1,"R",0,-9,0,"A",100,NA
5435,"0481-00034","2007-08-17 00:00:00",97,"IC",10.3999996185303,"A","N",5,2,"C",0,-9,0,"A",100,""
5436,"0481-00035","2007-08-17 00:00:00",222,"PP",20.1000003814697,"A","N",100,1,"R",0,-9,0,"A",10,""
5436,"0481-00035","2007-08-17 00:00:00",235,"PP",20.2000007629395,"A","N",100,1,"R",0,-9,0,"A",10,""
5436,"0481-00035","2007-08-17 00:00:00",239,"PP",21,"A","N",100,1,"R",0,-9,0,"A",10,""
5437,"0481-00023","2007-08-17 00:00:00",103,"PP",16.7000007629395,"A","N",100,1,"R",0,-9,0,"A",100,""
5437,"0481-00023","2007-08-17 00:00:00",108,"DF",20.2999992370605,"A","N",100,1,"R",0,-9,0,"A",10,""
5437,"0481-00023","2007-08-17 00:00:00",110,"PP",20.2000007629395,"A","N",35,1,"R",0,-9,0,"A",10,""
5437,"0481-00023","2007-08-17 00:00:00",111,"PP",24,"A","N",25,1,"R",0,-9,0,"A",10,""
5438,"0481-00031","2007-08-17 00:00:00",201,"DF",21.1000003814697,"A","N",100,0,"R",0,-9,0,"A",10,""
5438,"0481-00031","2007-08-17 00:00:00",215,"PP",22.3999996185303,"A","N",60,1,"R",0,-9,0,"A",10,""
5438,"0481-00031","2007-08-17 00:00:00",219,"DF",27,"E","X",-9,3,"R",0,-9,-9,"E",10,""
5439,"0440-00011","2007-08-29 00:00:00",6,"IC",23,"A","N",80,1,"R",0,-9,0,"A",10,"WITNESS AZ55DIST30.6'"
5439,"0440-00011","2007-08-29 00:00:00",9,"PP",41.5,"B","N",35,1,"R",4,-9,0,"D",10,"WITNESS AZ186DIST32.6'"
5439,"0440-00011","2007-08-29 00:00:00",13,"PP",44.2999992370605,"A","N",100,2,"R",0,-9,0,"A",10,""
5439,"0440-00011","2007-08-29 00:00:00",14,"IC",21.1000003814697,"A","N",100,1,"R",0,-9,0,"A",10,"WITNESS AZ260DIST10.2'"
5440,"0440-00012","2007-08-29 00:00:00",18,"IC",37,"D","Y",0,3,"D",4,3,0,"C",10,"WITNESS AZ314DIST23.2"
5440,"0440-00012","2007-08-29 00:00:00",22,"BO",29.6000003814697,"E","N",100,1,"R",4,3,0,"B",10,""
5440,"0440-00012","2007-08-29 00:00:00",28,"IC",17,"A","N",70,1,"R",9,1,0,"A",100,""
5441,"0440-00013","2007-08-28 00:00:00",1,"BO",28,"E","N",60,1,"R",4,3,0,"B",10,""
5441,"0440-00013","2007-08-28 00:00:00",3,"IC",24,"B","N",95,2,"R",9,2,0,"B",10,""
5441,"0440-00013","2007-08-28 00:00:00",12,"WF",24.6000003814697,"A","N",100,1,"R",0,-9,0,"A",10,"WITNESS AZ084DIST8.9'"
5441,"0440-00013","2007-08-28 00:00:00",13,"PP",16.1000003814697,"D","Y",50,1,"R",9,3,0,"C",100,""
5441,"0440-00013","2007-08-28 00:00:00",18,"IC",21,"C","N",60,0,"R",9,2,0,"B",10,""
5441,"0440-00013","2007-08-28 00:00:00",19,"IC",37.5,"A","N",100,1,"R",0,-9,0,"A",10,""
5441,"0440-00013","2007-08-28 00:00:00",20,"IC",18,"A","N",95,1,"R",9,2,0,"A",100,"WITNESS AZ307DIST8.7'NOTE:THERE ARE TWO 20's"
5441,"0440-00013","2007-08-28 00:00:00",21,"IC",15.8000001907349,"A","N",100,1,"R",4,2,0,"A",100,NA
5441,"0440-00013","2007-08-28 00:00:00",29,"IC",16.8999996185303,"B","N",100,2,"R",9,3,0,"B",100,""
5441,"0440-00013","2007-08-28 00:00:00",30,"WF",10.1999998092651,"B","N",70,1,"R",9,2,0,"B",100,NA
5441,"0440-00013","2007-08-28 00:00:00",42,"IC",17.1000003814697,"D","N",5,1,"R",4,4,0,"D",100,""
5442,"0440-00014","2007-08-28 00:00:00",5,"DF",26.5,"C","N",25,1,"D",4,-9,0,"C",10,""
5442,"0440-00014","2007-08-28 00:00:00",9,"DF",44.2000007629395,"A","N",95,2,"R",0,-9,0,"A",10,"WITNESS D 11.8 AZ 95"
5442,"0440-00014","2007-08-28 00:00:00",19,"WF",53.5,"D","Y",5,2,"D",4,-9,1,"E",10,""
5442,"0440-00014","2007-08-28 00:00:00",22,"PP",24.5,"D","N",45,2,"D",4,-9,0,"D",10,""
5442,"0440-00014","2007-08-28 00:00:00",23,"WF",28.2000007629395,"C","N",10,1,"D",4,-9,0,"D",10,""
5442,"0440-00014","2007-08-28 00:00:00",31,"WF",41.9000015258789,"B","N",100,1,"R",4,-9,0,"B",10,"WITNESS D 32.9 AZ 236"
5537,"0010-00001","2008-07-18 00:00:00",21,"WF",29.5,"B","N",95,1,"D",4,3,0,"B",10,"CUT AND LEFT 2000"
5447,"0461-00022","2007-06-15 00:00:00",18,"WF",30.7999992370605,"E","N",10,1,"D",4,-9,0,"E",10,""
5449,"0190-00010","2003-06-17 00:00:00",47,"PP",29,"D","N",100,1,"R",9,4,0,"D",10,""
5450,"0190-00018","2003-06-16 00:00:00",1,"PP",39,"B","N",50,1,"R",9,2,0,"B",10,""
5450,"0190-00018","2003-06-16 00:00:00",7,"IC",23,"B","N",100,4,"R",4,1,0,"B",10,""
