"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
6640,"0490-00042","2009-07-26 00:00:00",7,"B",4
6640,"0490-00042","2009-07-26 00:00:00",7,"B",3
6640,"0490-00042","2009-07-26 00:00:00",7,"B",9
6640,"0490-00042","2009-07-26 00:00:00",80,"B",8
6640,"0490-00042","2009-07-26 00:00:00",80,"B",6
6642,"0570-00011","2009-07-25 00:00:00",278,"B",3
6643,"0570-00013","2009-07-23 00:00:00",300,"B",4
6644,"0570-00017","2009-07-25 00:00:00",133,"B",4
6645,"0570-00023","2009-07-24 00:00:00",53,"B",3
6646,"0570-00025","2009-07-26 00:00:00",70,"B",4
6646,"0570-00025","2009-07-26 00:00:00",70,"B",4
6646,"0570-00025","2009-07-26 00:00:00",70,"B",5
6646,"0570-00025","2009-07-26 00:00:00",70,"B",4
6646,"0570-00025","2009-07-26 00:00:00",102,"B",4
6646,"0570-00025","2009-07-26 00:00:00",102,"B",10
6649,"0590-00009","2009-08-22 00:00:00",134,"B",5
6649,"0590-00009","2009-08-22 00:00:00",134,"B",3
6649,"0590-00009","2009-08-22 00:00:00",134,"D",6
6649,"0590-00009","2009-08-22 00:00:00",134,"B",3
6649,"0590-00009","2009-08-22 00:00:00",318,"B",6
6650,"0590-00013","2009-08-22 00:00:00",5,"B",8
6651,"0590-00021","2009-08-22 00:00:00",50,"D",9
6651,"0590-00021","2009-08-22 00:00:00",50,"B",6
6651,"0590-00021","2009-08-22 00:00:00",50,"D",4
6651,"0590-00021","2009-08-22 00:00:00",311,"D",6
6651,"0590-00021","2009-08-22 00:00:00",311,"B",10
6652,"0440-00001","2013-10-14 00:00:00",340,"C",4
6652,"0440-00001","2013-10-14 00:00:00",340,"D",4
6652,"0440-00001","2013-10-14 00:00:00",340,"B",5
6652,"0440-00001","2013-10-14 00:00:00",340,"D",6
6652,"0440-00001","2013-10-14 00:00:00",40,"B",11
6652,"0440-00001","2013-10-14 00:00:00",40,"B",11
6653,"0440-00002","2013-10-14 00:00:00",60,"E",10
6653,"0440-00002","2013-10-14 00:00:00",60,"E",4
6653,"0440-00002","2013-10-14 00:00:00",60,"E",4
6653,"0440-00002","2013-10-14 00:00:00",60,"E",3
6653,"0440-00002","2013-10-14 00:00:00",60,"E",15
6653,"0440-00002","2013-10-14 00:00:00",0,"B",4
6653,"0440-00002","2013-10-14 00:00:00",0,"D",3
6653,"0440-00002","2013-10-14 00:00:00",0,"E",4
6653,"0440-00002","2013-10-14 00:00:00",0,"E",3
6653,"0440-00002","2013-10-14 00:00:00",0,"E",15
6655,"0440-00005","2013-10-15 00:00:00",260,"E",8
6655,"0440-00005","2013-10-15 00:00:00",260,"E",4
6655,"0440-00005","2013-10-15 00:00:00",260,"D",7
6655,"0440-00005","2013-10-15 00:00:00",200,"D",4
6656,"0440-00006","2013-10-11 00:00:00",126,"C",4
6656,"0440-00006","2013-10-11 00:00:00",126,"B",4
6656,"0440-00006","2013-10-11 00:00:00",66,"D",7
6656,"0440-00006","2013-10-11 00:00:00",66,"C",5
6657,"0440-00009","2013-10-11 00:00:00",90,"D",3
6661,"0440-00013","2013-10-10 00:00:00",312,"B",5
6662,"0440-00014","2013-10-14 00:00:00",248,"C",4
6662,"0440-00014","2013-10-14 00:00:00",248,"C",3
6662,"0440-00014","2013-10-14 00:00:00",248,"C",11
6662,"0440-00014","2013-10-14 00:00:00",248,"B",4
6662,"0440-00014","2013-10-14 00:00:00",188,"D",4
6662,"0440-00014","2013-10-14 00:00:00",188,"C",7
6662,"0440-00014","2013-10-14 00:00:00",188,"E",9
6668,"0481-00024","2013-10-23 00:00:00",46,"B",3
6668,"0481-00024","2013-10-23 00:00:00",46,"B",4
6668,"0481-00024","2013-10-23 00:00:00",46,"B",5
6669,"0481-00025","2013-10-23 00:00:00",140,"B",3
6669,"0481-00025","2013-10-23 00:00:00",140,"B",3
6671,"0481-00027","2013-10-24 00:00:00",353,"D",6
6672,"0481-00028","2013-10-24 00:00:00",345,"D",4
6672,"0481-00028","2013-10-24 00:00:00",345,"C",4
6672,"0481-00028","2013-10-24 00:00:00",285,"E",4
6676,"0481-00034","2013-10-23 00:00:00",318,"C",4
6679,"0481-00037","2013-10-24 00:00:00",0,"D",6
6679,"0481-00037","2013-10-24 00:00:00",300,"D",6
6679,"0481-00037","2013-10-24 00:00:00",300,"E",5
6679,"0481-00037","2013-10-24 00:00:00",300,"D",8
6680,"0481-00038","2013-10-24 00:00:00",1,"B",3
6680,"0481-00038","2013-10-24 00:00:00",1,"D",3
6680,"0481-00038","2013-10-24 00:00:00",61,"D",6
6681,"0490-00002","2013-07-08 00:00:00",5,"A",3
6683,"0490-00010","2013-07-09 00:00:00",112,"D",4
6683,"0490-00010","2013-07-09 00:00:00",112,"D",5
6683,"0490-00010","2013-07-09 00:00:00",112,"D",9
6683,"0490-00010","2013-07-09 00:00:00",112,"B",5
6685,"0490-00014","2013-07-09 00:00:00",334,"B",3
6685,"0490-00014","2013-07-09 00:00:00",334,"D",9
6686,"0490-00016","2013-07-10 00:00:00",240,"A",6
6688,"0490-00031","2013-07-10 00:00:00",224,"C",5
6688,"0490-00031","2013-07-10 00:00:00",224,"B",4
6939,"0440-00012","2013-10-10 00:00:00",62,"B",4
6939,"0440-00012","2013-10-10 00:00:00",2,"B",4
6688,"0490-00031","2013-07-10 00:00:00",224,"B",4
6688,"0490-00031","2013-07-10 00:00:00",284,"C",10
6688,"0490-00031","2013-07-10 00:00:00",284,"C",12
6688,"0490-00031","2013-07-10 00:00:00",284,"D",10
6689,"0490-00032","2013-07-10 00:00:00",186,"D",8
6689,"0490-00032","2013-07-10 00:00:00",186,"D",5
6689,"0490-00032","2013-07-10 00:00:00",186,"C",6
6689,"0490-00032","2013-07-10 00:00:00",186,"C",7
6689,"0490-00032","2013-07-10 00:00:00",246,"C",4
6689,"0490-00032","2013-07-10 00:00:00",246,"C",5
6689,"0490-00032","2013-07-10 00:00:00",246,"B",7
6689,"0490-00032","2013-07-10 00:00:00",246,"B",5
6690,"0490-00034","2013-07-10 00:00:00",347,"C",8
6691,"0490-00036","2013-07-10 00:00:00",176,"E",10
6691,"0490-00036","2013-07-10 00:00:00",176,"B",11
6691,"0490-00036","2013-07-10 00:00:00",176,"B",4
6691,"0490-00036","2013-07-10 00:00:00",116,"C",6
6695,"0540-00002","2013-07-08 00:00:00",264,"C",9
6696,"0540-00004","2013-07-08 00:00:00",166,"E",22
6696,"0540-00004","2013-07-08 00:00:00",166,"A",7
6696,"0540-00004","2013-07-08 00:00:00",226,"D",6
6697,"0540-00005","2013-07-08 00:00:00",210,"D",50
6698,"0540-00006","2013-07-08 00:00:00",351,"C",5
6698,"0540-00006","2013-07-08 00:00:00",351,"D",5
6698,"0540-00006","2013-07-08 00:00:00",351,"C",6
