"InvID","PlotID","Invdate","Species","Age","Comment"
2493,"0660-00004","1995-07-12 00:00:00","R","2",NA
2401,"0160-00017","1995-07-28 00:00:00","D","1",NA
2515,"0130-00027","1997-07-01 00:00:00","C","2",NA
2521,"0130-00024","1997-07-01 00:00:00","D","1",NA
2532,"0150-00014","1997-06-18 00:00:00","O","1",NA
2535,"0152-00005","1997-06-16 00:00:00","D","2",NA
2535,"0152-00005","1997-06-16 00:00:00","B","1",NA
2538,"0190-00007","1997-07-07 00:00:00","C","2",NA
2540,"0190-00016","1997-07-07 00:00:00","C","2",NA
2545,"0190-00025","1997-07-09 00:00:00","C","1",NA
2545,"0190-00025","1997-07-09 00:00:00","C","2",NA
2546,"0190-00026","1997-07-08 00:00:00","O","1",NA
2546,"0190-00026","1997-07-08 00:00:00","O","2",NA
2546,"0190-00026","1997-07-08 00:00:00","C","2",NA
2547,"0190-00028","1997-07-10 00:00:00"," ","1",NA
2548,"0190-00030","1997-07-10 00:00:00","B","2",NA
2549,"0450-00001","1997-07-17 00:00:00","C","2",NA
2550,"0450-00002","1997-07-17 00:00:00","B","2",NA
2554,"0500-00006","1997-07-11 00:00:00","C","1",NA
2564,"0500-00026","1997-07-17 00:00:00","C","1",NA
3300,"0080-00097","1998-08-10 00:00:00","B","1",NA
3303,"1130-00002","1998-07-01 00:00:00","0","0",NA
3305,"1130-00004","1998-06-29 00:00:00","0","0",NA
3308,"1130-00007","1998-07-01 00:00:00","0","0",NA
3311,"1130-00010","1998-06-30 00:00:00","0","0",NA
3314,"1130-00011","1998-07-01 00:00:00","0","0",NA
3317,"1140-00007","1998-07-27 00:00:00","B","1",NA
3323,"0260-00002","1998-08-13 00:00:00","D","1",NA
3335,"0410-50221","1996-07-18 00:00:00","O","2",NA
3336,"0420-50322","1996-07-12 00:00:00","C","2",NA
3341,"0371-00006","1998-06-09 00:00:00","R","1",NA
3342,"0371-00007","1998-06-04 00:00:00","D","2",NA
3345,"0371-00011","1998-06-10 00:00:00","D","1",NA
3345,"0371-00011","1998-06-10 00:00:00","C","2",NA
3346,"0371-00012","1998-06-10 00:00:00","C","2",NA
3347,"0371-00014","1998-06-12 00:00:00","D","1",NA
3348,"0371-00015","1998-06-12 00:00:00","C","2",NA
3371,"0371-00008","1994-08-09 00:00:00","R","2",NA
3386,"0371-00059","1994-08-08 00:00:00","R","2",NA
3404,"0410-00009","1998-07-17 00:00:00","D","1",NA
3439,"0670-00014","1998-12-01 00:00:00","D","0",NA
3439,"0670-00014","1998-12-01 00:00:00","D","0",NA
3449,"0060-00005","1999-07-02 00:00:00","D","1",NA
3487,"0350-50200","1999-07-26 00:00:00","R","2",NA
3520,"0400-00004","1999-09-29 00:00:00","C","2",NA
3529,"0400-00027","1999-10-01 00:00:00","D","1",NA
3532,"0420-50800","1999-08-13 00:00:00","D","1",NA
3532,"0420-50800","1999-08-13 00:00:00","D","1",NA
3532,"0420-50800","1999-08-13 00:00:00","D","2",NA
3553,"0490-50400","1999-08-10 00:00:00","R","1",NA
3555,"0490-50600","1999-08-06 00:00:00","D","1",NA
3555,"0490-50600","1999-08-06 00:00:00","D","1",NA
3555,"0490-50600","1999-08-06 00:00:00","D","1",NA
3555,"0490-50600","1999-08-06 00:00:00","D","1",NA
3556,"0490-50700","1999-08-09 00:00:00","D","1",NA
3588,"0590-00007","1999-07-14 00:00:00","D","2",NA
3588,"0590-00007","1999-07-14 00:00:00","D","2",NA
3588,"0590-00007","1999-07-14 00:00:00","D","2",NA
3588,"0590-00007","1999-07-14 00:00:00","D","1",NA
3588,"0590-00007","1999-07-14 00:00:00","D","1",NA
3588,"0590-00007","1999-07-14 00:00:00","D","2",NA
3593,"0590-00022","1999-07-12 00:00:00","D","1",NA
3650,"0010-50800","1996-06-15 00:00:00","D","2",NA
3818,"0280-00001","1997-01-09 00:00:00","D","1",NA
3818,"0280-00001","1997-01-09 00:00:00","C","2",NA
3819,"0280-00002","1997-01-09 00:00:00","D","1",NA
3821,"0280-00004","1997-04-04 00:00:00","D","1",NA
3821,"0280-00004","1997-04-04 00:00:00","C","2",NA
3822,"0280-00005","1997-04-03 00:00:00","C","2",NA
3839,"0280-00059","1997-01-09 00:00:00","D","2",NA
3841,"0280-00061","1997-04-01 00:00:00","D","1",NA
3844,"0280-00064","1997-04-08 00:00:00","D","1",NA
3848,"0280-00068","1997-04-02 00:00:00","D","1",NA
3857,"0280-00078","1997-04-09 00:00:00","D","1",NA
3863,"0040-00003","2001-07-11 00:00:00","D","1",NA
3898,"0190-00025","2001-06-01 00:00:00","D","1",NA
3898,"0190-00025","2001-06-01 00:00:00","C","2",NA
3899,"0190-00026","2001-06-01 00:00:00","C","2",NA
3905,"0240-00005","2001-07-16 00:00:00","D","2",NA
3905,"0240-00005","2001-07-16 00:00:00","D","1",NA
3933,"0340-00029","2001-07-30 00:00:00","D","1",NA
3953,"0490-00002","2001-05-09 00:00:00","C","2",NA
3953,"0490-00002","2001-05-09 00:00:00","C","2",NA
3964,"0490-00033","2001-05-17 00:00:00","D","1",NA
3982,"0590-00009","2001-06-18 00:00:00","D","1",NA
3984,"0590-00021","2001-06-11 00:00:00","D","2",NA
4013,"0620-00005","1996-08-06 00:00:00","C","2",NA
4014,"0620-00006","1996-08-06 00:00:00","D","1",NA
4017,"0620-00010","1996-08-06 00:00:00","C","2",NA
4023,"0620-00055","1996-08-02 00:00:00","C","2",NA
4024,"0620-00057","1996-08-02 00:00:00","C","2",NA
4030,"0620-00063","1996-08-02 00:00:00","C","2",NA
4034,"0620-00067","1996-08-02 00:00:00","C","2",NA
4034,"0620-00067","1996-08-02 00:00:00","C","2",NA
4073,"0464-00003","1996-07-26 00:00:00","C","2",NA
4073,"0464-00003","1996-07-26 00:00:00","F","2",NA
4074,"0464-00001","1996-07-24 00:00:00","C","1",NA
4077,"0464-00004","1996-07-26 00:00:00","C","2",NA
4098,"0464-00005","1996-07-29 00:00:00","C","2",NA
4098,"0464-00005","1996-07-29 00:00:00","D","2",NA
4099,"0464-00008","1996-07-29 00:00:00","C","1",NA
4101,"0464-00010","1996-07-31 00:00:00","C","1",NA
4102,"0464-00011","1996-07-31 00:00:00","C","2",NA
4115,"0464-00169","1996-07-31 00:00:00","C","2",NA
4116,"0464-00012","1996-07-31 00:00:00","C","1",NA
4117,"0464-00171","1996-07-31 00:00:00","C","2",NA
4119,"0464-00173","1996-07-31 00:00:00","D","2",NA
4123,"0292-00019","2001-08-28 00:00:00","B","1",NA
4123,"0292-00019","2001-08-28 00:00:00","B","2",NA
4133,"0292-00038","2001-08-28 00:00:00","D","1",NA
4137,"0520-00004","2001-08-23 00:00:00","D","1",NA
4145,"1110-00005","1998-07-07 00:00:00","D","2",NA
4147,"1110-00007","1998-06-07 00:00:00","D","2",NA
4151,"1110-00011","1998-06-09 00:00:00","R","2",NA
4151,"1110-00011","1998-06-09 00:00:00","Y","2",NA
4153,"1110-00013","1998-07-09 00:00:00","D","2",NA
4153,"1110-00013","1998-07-09 00:00:00","D","2",NA
4167,"0420-00008","2002-07-26 00:00:00","2","2",NA
4174,"1110-00002","2003-07-31 00:00:00","0","0",NA
4175,"1110-00003","2003-08-01 00:00:00","D","1",NA
4176,"1110-00004","2003-08-01 00:00:00","0","0",NA
4178,"1110-00007","2003-08-01 00:00:00","0","0",NA
4179,"1110-00008","2003-08-05 00:00:00","0","0",NA
4187,"1110-00009","2003-08-05 00:00:00","0","0",NA
4188,"1110-00010","2003-08-05 00:00:00","0","0",NA
4189,"1110-00011","2003-08-04 00:00:00","0","0",NA
4191,"0100-00003","2003-07-23 00:00:00","0","0",NA
4211,"0160-00029","2003-07-02 00:00:00","D","1",NA
4215,"0160-00023","2003-07-09 00:00:00","D","1",NA
4216,"0270-00001","2003-08-14 00:00:00","C","2",NA
4218,"0270-00013","2003-08-12 00:00:00","D","1",NA
4223,"0270-00023","2003-08-11 00:00:00","0","0",NA
4225,"0270-00025","2003-08-14 00:00:00","D","2",NA
4237,"0270-00032","2003-08-14 00:00:00","D","1",NA
4238,"0440-00001","2003-07-17 00:00:00","0","0",NA
4239,"0440-00002","2003-07-16 00:00:00","C","2",NA
4240,"0440-00003","2003-07-16 00:00:00","C","2",NA
4243,"0440-00010","2003-07-16 00:00:00","C","2",NA
4243,"0440-00010","2003-07-16 00:00:00","C","2",NA
4243,"0440-00010","2003-07-16 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
4244,"0440-00011","2003-07-15 00:00:00","C","2",NA
